Time,"6"" Moisture","12"" Moisture","24"" Moisture"
2019-07-27T12:01:15.934-05:00,-37.48,-26.32,-8.72
2019-07-27T12:05:42.722-05:00,-37.48,-26.32,-8.72
2019-07-27T12:05:43.208-05:00,-37.48,-26.32,-8.72
2019-07-27T12:05:43.210-05:00,-37.48,-26.32,-8.72
2019-07-27T12:05:43.749-05:00,-37.48,-26.32,-8.72
2019-07-27T12:05:43.752-05:00,-37.48,-26.32,-8.72
2019-07-27T12:05:43.754-05:00,-37.48,-26.32,-8.72
2019-07-27T12:12:06.732-05:00,-37.54,-26.36,-8.75
2019-07-27T12:12:07.215-05:00,-37.54,-26.36,-8.75
2019-07-27T12:12:07.218-05:00,-37.48,-26.32,-8.72
2019-07-27T12:12:07.760-05:00,-37.48,-26.32,-8.72
2019-07-27T12:12:07.763-05:00,-37.54,-26.36,-8.75
2019-07-27T12:12:07.765-05:00,-37.54,-26.36,-8.75
2019-07-27T12:20:03.744-05:00,-37.54,-26.36,-8.75
2019-07-27T12:20:04.610-05:00,-37.61,-26.5,-8.78
2019-07-27T12:20:04.614-05:00,-37.74,-26.5,-8.78
2019-07-27T12:20:04.967-05:00,-37.74,-26.5,-8.78
2019-07-27T12:20:04.968-05:00,-37.61,-26.5,-8.78
2019-07-27T12:23:55.206-05:00,-37.67,-26.54,-8.81
2019-07-27T12:23:55.691-05:00,-37.8,-26.54,-8.81
2019-07-27T12:23:55.694-05:00,-37.67,-26.54,-8.81
2019-07-27T12:23:56.233-05:00,-37.8,-26.54,-8.81
2019-07-27T12:23:56.235-05:00,-37.8,-26.54,-8.81
2019-07-27T12:23:56.238-05:00,-37.67,-26.54,-8.81
2019-07-27T12:26:09.469-05:00,-37.67,-26.54,-8.81
2019-07-27T12:26:09.914-05:00,-37.8,-26.54,-8.81
2019-07-27T12:26:09.917-05:00,-37.8,-26.54,-8.81
2019-07-27T12:26:10.375-05:00,-37.8,-26.54,-8.81
2019-07-27T12:26:10.381-05:00,-37.8,-26.54,-8.81
2019-07-27T12:26:10.670-05:00,-37.8,-26.54,-8.81
2019-07-27T12:33:14.666-05:00,-37.87,-26.67,-8.83
2019-07-27T12:33:15.105-05:00,-37.87,-26.58,-8.83
2019-07-27T12:33:15.108-05:00,-37.87,-26.58,-8.83
2019-07-27T12:33:15.567-05:00,-37.87,-26.58,-8.83
2019-07-27T12:33:15.569-05:00,-37.87,-26.58,-8.83
2019-07-27T12:33:15.885-05:00,-37.87,-26.58,-8.83
2019-07-27T12:37:25.695-05:00,-37.93,-26.72,-9.04
2019-07-27T12:37:26.177-05:00,-37.93,-26.72,-9.04
2019-07-27T12:37:26.179-05:00,-37.93,-26.72,-9.04
2019-07-27T12:37:26.720-05:00,-37.93,-26.72,-9.04
2019-07-27T12:37:26.722-05:00,-37.93,-26.72,-9.04
2019-07-27T12:37:26.724-05:00,-37.93,-26.72,-9.04
2019-07-27T12:42:11.116-05:00,-37.99,-26.76,-8.89
2019-07-27T12:42:11.601-05:00,-37.99,-26.76,-9.07
2019-07-27T12:42:11.604-05:00,-37.99,-26.76,-9.07
2019-07-27T12:42:12.143-05:00,-37.99,-26.76,-9.07
2019-07-27T12:42:12.147-05:00,-37.99,-26.76,-9.07
2019-07-27T12:42:12.150-05:00,-37.99,-26.76,-9.07
2019-07-27T12:53:11.533-05:00,-38.12,-26.94,-8.95
2019-07-27T12:53:12.017-05:00,-38.12,-26.94,-8.95
2019-07-27T12:53:12.020-05:00,-38.12,-26.94,-8.95
2019-07-27T12:53:12.560-05:00,-38.12,-26.94,-8.95
2019-07-27T12:53:12.562-05:00,-38.12,-26.94,-8.95
2019-07-27T12:53:12.563-05:00,-38.12,-26.94,-8.95
2019-07-27T14:02:22.675-05:00,-38.77,-27.67,-9.55
2019-07-27T14:02:22.681-05:00,-38.77,-27.67,-9.55
2019-07-27T14:02:23.144-05:00,-38.91,-27.67,-9.37
2019-07-27T14:02:23.146-05:00,-38.91,-27.67,-9.37
2019-07-27T14:02:23.499-05:00,-38.91,-27.67,-9.37
2019-07-27T14:02:23.505-05:00,-38.91,-27.67,-9.37
2019-07-27T14:07:22.623-05:00,-38.91,-27.76,-9.55
2019-07-27T14:07:22.629-05:00,-38.91,-27.76,-9.55
2019-07-27T14:07:23.144-05:00,-38.91,-27.76,-9.55
2019-07-27T14:07:23.150-05:00,-38.91,-27.67,-9.55
2019-07-27T14:07:23.153-05:00,-38.91,-27.67,-9.55
2019-07-27T14:07:23.444-05:00,-38.91,-27.76,-9.55
2019-07-27T14:48:11.911-05:00,-38.91,-27.76,-9.55
2019-07-27T16:48:46.212-05:00,-39.35,-28.35,-9.49
2019-07-27T18:49:11.573-05:00,-39.74,-28.81,-9.89
2019-07-27T20:49:35.729-05:00,-39.48,-28.71,-10.79
2019-07-28T00:50:30.764-05:00,-39.58,-28.27,-10.69
2019-07-28T02:50:58.957-05:00,-39.73,-28.06,-10.71
2019-07-28T04:51:24.579-05:00,-40.01,-27.76,-10.73
2019-07-28T06:51:50.895-05:00,-40.37,-27.59,-10.84
2019-07-28T08:52:20.885-05:00,-41.31,-27.81,-11.13
2019-07-28T10:52:54.430-05:00,-43.05,-29.04,-11.84
2019-07-28T12:18:37.070-05:00,-45.08,-30.77,-12.55
2019-07-28T12:18:37.608-05:00,-45.08,-30.77,-12.55
2019-07-28T12:18:37.612-05:00,-45.08,-30.87,-12.55
2019-07-28T12:18:37.615-05:00,-45.08,-30.77,-12.55
2019-07-28T12:18:37.905-05:00,-45.08,-30.77,-12.55
2019-07-28T12:21:59.776-05:00,-45.08,-30.87,-12.6
2019-07-28T12:22:00.180-05:00,-45.08,-30.77,-12.55
2019-07-28T12:22:00.696-05:00,-45.08,-30.87,-12.55
2019-07-28T12:22:00.704-05:00,-45.08,-30.87,-12.55
2019-07-28T12:22:00.707-05:00,-45.08,-30.77,-12.55
2019-07-28T12:22:00.995-05:00,-45.08,-30.87,-12.55
2019-07-28T12:53:16.675-05:00,-45.16,-30.82,-12.57
2019-07-28T14:29:11.843-05:00,-46.19,-31.93,-12.93
2019-07-28T14:29:13.376-05:00,-46.11,-32.1,-12.91
2019-07-28T14:29:13.384-05:00,-46.29,-31.99,-12.91
2019-07-28T14:29:13.387-05:00,-46.29,-31.99,-12.91
2019-07-28T16:54:17.362-05:00,-46.48,-32.68,-13.17
2019-07-28T18:54:47.170-05:00,-45.98,-32.67,-13.25
2019-07-28T20:55:11.990-05:00,-45.72,-32.23,-13.15
2019-07-29T00:56:12.343-05:00,-45.69,-32.06,-13.2
2019-07-29T02:56:36.379-05:00,-46.04,-31.82,-13.3
2019-07-29T04:57:09.690-05:00,-48.06,-31.58,-13.4
2019-07-29T06:57:39.029-05:00,-48.48,-31.44,-13.55
2019-07-29T08:58:11.279-05:00,-49.55,-31.74,-13.87
2019-07-29T10:58:36.418-05:00,-12.8,-8.63,-24.5
2019-07-29T12:58:58.819-05:00,-13.03,-9.2,-25.51
2019-07-29T14:59:29.676-05:00,-13.39,-9.58,-25.69
2019-07-29T16:59:56.411-05:00,-13.7,-11.31,-25.69
2019-07-29T18:47:38.090-05:00,-13.7,-11.31,-25.69
2019-07-29T18:47:38.671-05:00,-13.65,-11.55,-26.84
2019-07-29T21:00:52.073-05:00,-13.47,-11.76,-27.26
2019-07-30T01:01:51.270-05:00,-13.69,-12.57,-27.35
2019-07-30T03:02:17.459-05:00,-14.49,-13.52,-26.82
2019-07-30T05:02:46.585-05:00,-15.6,-14.53,-26.25
